price,size,piperepair_plug,pipe_repair,sq_price,area,year_built,room_num,sqprice_adjusted
168000.0,73.0,0.0,2031,2301.37, Mellunmäki,1981.0,3,2301.37
285000.0,62.0,0.0,2059,4596.77, Laajasalo,2009.0,2,4596.77
46841.0,60.0,0.0,2070,780.68, Laajasalo,2020.0,2,780.68
547000.0,67.0,0.0,2071,8164.18, Kalasatama,2021.0,3,8164.18
232000.0,44.0,937.5,1998,5272.73, Herttoniemi,1948.0,2,6210.23
294000.0,53.0,562.5,2008,5547.17, Alppila,1958.0,2,6109.67
165000.0,53.0,0.0,2037,3113.21, Mellunkylä,1987.0,2,3113.21
33147.0,48.0,0.0,2067,690.56, Kuninkaantammi,2017.0,2,690.56
480000.0,62.0,2287.5,1962,7741.94, Kruununhaka,1912.0,2,10029.439999999999
345000.0,69.0,0.0,2056,5000.0, Aurinkolahti,2006.0,2,5000.0
520000.0,98.0,2212.5,1964,5306.12, Kallio,1914.0,3,7518.62
189000.0,45.0,637.5,2006,4200.0, Reimarla,1956.0,2,4837.5
759000.0,89.0,1612.5,1980,8528.09, Kruununhaka,1930.0,3,10140.59
241000.0,65.0,0.0,2062,3707.69, Vuosaari,2012.0,3,3707.69
358000.0,49.0,0.0,2071,7306.12, Kruunuvuorenranta,2021.0,3,7306.12
